archetype,timepoint,days_from_launch,n_members,n_elevated,pct_elevated,mean_abs_z,max_abs_z,direction_dominant,archetype_activation_score,constituent_measurements
acute_phase_response,R+1,1,4,1,0.25,8.4224,31.5099,up,2.1056,il_1beta|il_6|il_8|tnfalpha
acute_phase_response,R+45,45,4,2,0.5,4.6583,16.2385,mixed,-2.3292,il_1beta|il_6|il_8|tnfalpha
acute_phase_response,R+82,82,4,3,0.75,2.9431,9.0224,up,2.2073,il_1beta|il_6|il_8|tnfalpha
acute_phase_response,R+194,194,4,2,0.5,6.161,22.8441,mixed,3.0805,il_1beta|il_6|il_8|tnfalpha
hematopoiesis_growth,R+1,1,8,2,0.25,1.2017,5.6681,mixed,-0.3004,g_csf|gm_csf|il_3|il_33|il_7|m_csf|scf|tpo
hematopoiesis_growth,R+45,45,8,3,0.375,1.1354,2.8687,up,0.4258,g_csf|gm_csf|il_3|il_33|il_7|m_csf|scf|tpo
hematopoiesis_growth,R+82,82,8,3,0.375,1.0134,2.4552,up,0.38,g_csf|gm_csf|il_3|il_33|il_7|m_csf|scf|tpo
hematopoiesis_growth,R+194,194,8,6,0.75,2.1439,6.2019,up,1.6079,g_csf|gm_csf|il_3|il_33|il_7|m_csf|scf|tpo
interferon_response,R+1,1,4,0,0.0,0.3345,0.5923,stable,0.0,ifn_alpha2|ifngamma|ip_10|mig_cxcl9
interferon_response,R+45,45,4,2,0.5,1.3333,2.9254,down,-0.6667,ifn_alpha2|ifngamma|ip_10|mig_cxcl9
interferon_response,R+82,82,4,3,0.75,2.9799,7.0154,down,-2.2349,ifn_alpha2|ifngamma|ip_10|mig_cxcl9
interferon_response,R+194,194,4,2,0.5,1.2568,2.8079,down,-0.6284,ifn_alpha2|ifngamma|ip_10|mig_cxcl9
monocyte_macrophage_recruitment,R+1,1,8,2,0.25,1.1396,5.1351,mixed,0.2849,fractalkine|mcp_1|mcp_2|mcp_3|mcp_4|mip_1alpha|mip_1beta|rantes
monocyte_macrophage_recruitment,R+45,45,8,1,0.125,0.5588,1.7447,up,0.0699,fractalkine|mcp_1|mcp_2|mcp_3|mcp_4|mip_1alpha|mip_1beta|rantes
monocyte_macrophage_recruitment,R+82,82,8,4,0.5,1.1969,3.0805,mixed,0.5985,fractalkine|mcp_1|mcp_2|mcp_3|mcp_4|mip_1alpha|mip_1beta|rantes
monocyte_macrophage_recruitment,R+194,194,8,4,0.5,1.8004,6.2471,up,0.9002,fractalkine|mcp_1|mcp_2|mcp_3|mcp_4|mip_1alpha|mip_1beta|rantes
neutrophil_chemoattraction,R+1,1,3,0,0.0,0.6346,0.8062,stable,0.0,ena_78|groalpha|il_8
neutrophil_chemoattraction,R+45,45,3,1,0.3333,0.5997,1.1599,up,0.1999,ena_78|groalpha|il_8
neutrophil_chemoattraction,R+82,82,3,1,0.3333,0.6306,1.2018,up,0.2102,ena_78|groalpha|il_8
neutrophil_chemoattraction,R+194,194,3,1,0.3333,1.1657,2.6882,up,0.3886,ena_78|groalpha|il_8
regulatory_response,R+1,1,2,1,0.5,2.148,4.0883,up,1.074,il_10|il_1ra
regulatory_response,R+45,45,2,2,1.0,1.3837,1.4578,mixed,1.3837,il_10|il_1ra
regulatory_response,R+82,82,2,2,1.0,3.108,3.3706,down,-3.108,il_10|il_1ra
regulatory_response,R+194,194,2,2,1.0,2.4375,3.638,mixed,-2.4375,il_10|il_1ra
th17_response,R+1,1,6,3,0.5,1.3651,4.9566,up,0.6825,il_17a|il_17e_il_25|il_17f|il_2|il_22|il_23
th17_response,R+45,45,6,4,0.6667,1.9672,4.0191,up,1.3115,il_17a|il_17e_il_25|il_17f|il_2|il_22|il_23
th17_response,R+82,82,6,4,0.6667,2.2028,6.2307,up,1.4686,il_17a|il_17e_il_25|il_17f|il_2|il_22|il_23
th17_response,R+194,194,6,3,0.5,0.9379,2.1259,down,-0.469,il_17a|il_17e_il_25|il_17f|il_2|il_22|il_23
th1_polarization,R+1,1,12,3,0.25,0.953,4.9566,down,0.2383,ifngamma|il_12p40|il_12p70|il_17e_il_25|il_2|il_20|il_21|il_22|il_23|il_27|il_28a|tnfbeta
th1_polarization,R+45,45,12,7,0.5833,2.0648,7.6121,down,-1.2044,ifngamma|il_12p40|il_12p70|il_17e_il_25|il_2|il_20|il_21|il_22|il_23|il_27|il_28a|tnfbeta
th1_polarization,R+82,82,12,8,0.6667,2.1318,7.0154,down,-1.4212,ifngamma|il_12p40|il_12p70|il_17e_il_25|il_2|il_20|il_21|il_22|il_23|il_27|il_28a|tnfbeta
th1_polarization,R+194,194,12,7,0.5833,1.3392,2.8309,up,0.7812,ifngamma|il_12p40|il_12p70|il_17e_il_25|il_2|il_20|il_21|il_22|il_23|il_27|il_28a|tnfbeta
th2_polarization,R+1,1,10,5,0.5,1.6543,4.4438,up,0.8271,ctack|eotaxin|eotaxin_2|eotaxin_3|il_13|il_3|il_33|il_4|il_5|tarc
th2_polarization,R+45,45,10,5,0.5,1.8463,6.7058,down,-0.9232,ctack|eotaxin|eotaxin_2|eotaxin_3|il_13|il_3|il_33|il_4|il_5|tarc
th2_polarization,R+82,82,10,6,0.6,1.5258,3.7802,up,0.9155,ctack|eotaxin|eotaxin_2|eotaxin_3|il_13|il_3|il_33|il_4|il_5|tarc
th2_polarization,R+194,194,10,5,0.5,1.6715,5.4484,up,0.8358,ctack|eotaxin|eotaxin_2|eotaxin_3|il_13|il_3|il_33|il_4|il_5|tarc
vascular_growth,R+1,1,5,1,0.2,0.8817,2.5423,up,0.1763,egf|fgf_2|pdgf_aa|pdgf_ab_bb|vegf_a
vascular_growth,R+45,45,5,3,0.6,1.4064,3.1727,up,0.8439,egf|fgf_2|pdgf_aa|pdgf_ab_bb|vegf_a
vascular_growth,R+82,82,5,1,0.2,1.857,6.8086,down,-0.3714,egf|fgf_2|pdgf_aa|pdgf_ab_bb|vegf_a
vascular_growth,R+194,194,5,3,0.6,1.1811,2.7105,up,0.7087,egf|fgf_2|pdgf_aa|pdgf_ab_bb|vegf_a
